[2026-05-20 16:09:16,601 | INFO] Browser launched
[2026-05-20 16:09:16,616 | INFO] New browser context created
[2026-05-20 16:09:16,645 | INFO] New page created
[2026-05-20 16:09:16,646 | INFO] TEST: test_login_success started
[2026-05-20 16:09:16,646 | INFO] LoginPage: navigate to 'https://kartochki.store'
[2026-05-20 16:09:23,339 | INFO] LoginPage: opened
[2026-05-20 16:09:23,339 | INFO] Login page -> Login form: check is visible
[2026-05-20 16:09:23,509 | INFO] LoginPage: login as ''
[2026-05-20 16:09:23,509 | INFO] Login page -> Email input: fill ''
[2026-05-20 16:09:23,615 | INFO] Login page -> Password input: fill ''
[2026-05-20 16:09:23,650 | INFO] Login page -> Submit button: click
[2026-05-20 16:09:23,706 | INFO] Dashboard page -> Unique element: wait for state 'visible'
[2026-05-20 16:10:23,878 | INFO] Page closed
[2026-05-20 16:10:23,888 | INFO] Browser context closed
